"id","name","city","image_url","address","latitude","longitude"
104,"Lakes & Legends Brewing Company","Minneapolis","/stock-photo10.jpg","1368 Lasalle Ave",44.968933,-93.27951
105,"Lakeville Brewing Co., LLC","Lakeville","/stock-photo10.jpg","8790 Upper 208th Street W",44.647747,-93.243866
106,"Lazy Loon Brewing Co","Chaska","/stock-photo10.jpg","8750 County Road 43",44.84549,-93.683044
107,"Lift Bridge Brewery","Stillwater","/stock-photo3.jpg","1900 Tower Dr W",45.03915,-92.83176
108,"Little Thistle Brewing","Rochester","/stock-photo4.jpg","2031 14th ST NW",44.03696,-92.495155
109,"Loony's Brew","Ranier","/stock-photo6.jpg","3481 Main St",48.615604,-93.348145
110,"LTD Brewery","Hopkins","/stock-photo6.jpg","725 Mainstreet",44.924664,-93.40988
112,"LuPine Brewing Co","Delano","/stock-photo5.jpg","248 River St N",45.042744,-93.78902
116,"Mantorville Brewing Co LLC","Mantorville","/stock-photo12.jpg","101 5th St E",44.06659,-92.753494
119,"Modist Brewing Company","Minneapolis","/stock-photo8.jpg","505 N 3rd St",44.98528,-93.2759
120,"Montgomery Brewing Company","Montgomery","/stock-photo2.jpg","306 2nd St NW",44.441376,-93.58293
121,"Moose Lake Brewing Company","Moose Lake","/stock-photo7.jpg","244 Lakeshore Drive",46.447495,-92.76772
122,"Northbound Smokehouse Brewpub","Minneapolis","/stock-photo8.jpg","2716 E 38th St",44.934288,-93.2325
123,"Nutmeg Brewhouse","Burnsville","/stock-photo4.jpg","1905 County Road 42 W",44.74582,-93.30368
124,"Olvalde Farm & Brewing","Rollingstone","/stock-photo5.jpg","16557 County Road 25",44.09438,-91.80991
125,"OMNI Brewing Company","Maple Grove","/stock-photo11.jpg","9462 Deerwood Ln N",45.126484,-93.42543
126,"Oswald Brewing Company","Blue Earth","/stock-photo6.jpg","110 S Main St",43.638214,-94.10279
127,"Outstate Brewing Company LLC","Fergus Falls","/stock-photo1.jpg","309 S Vine St",46.281292,-96.07991
128,"Pantown Brewing Company","Saint Cloud","/stock-photo7.jpg","408 37th Ave N",45.561573,-94.20275
129,"Pigs Eye Pub","Woodbury","/stock-photo9.jpg","10107 Bridgewater Pkwy",44.92231,-92.90131
130,"Pryes Brewing Company","Minneapolis","/stock-photo2.jpg","1401 W River Rd N",44.99358,-93.27642
131,"Rahr Technical Center LLC","Shakopee","/stock-photo7.jpg","800 1st Ave W",44.795586,-93.53514
133,"Red Wing Brewing Company","Red Wing","/stock-photo10.jpg","1411 Old West Main St",44.562576,-92.54738
134,"Revelation Ale Works","Hallock","/stock-photo11.jpg","146 S Atlantic Ave",48.77449,-96.94612
135,"Rock Bottom Brewery - Minneapolis","Minneapolis","/stock-photo7.jpg","800 Lasalle Ave",44.976383,-93.275116
136,"Roets Jordan Brewery Co.","Jordan","/stock-photo11.jpg","230 Broadway St S",44.665535,-93.62625
137,"Roma Brewery","Willernie","/stock-photo4.jpg","310 Stillwater Rd",45.057247,-92.95758
138,"Roundhouse Brewery","Brainerd","/stock-photo12.jpg","1551 Northern Pacific Rd",46.35727,-94.186874
140,"Schram Vineyards Winery & Brewery","Waconia","/stock-photo13.jpg","8785 Airport Rd",44.843395,-93.74472
141,"Shakopee Brewhall","Shakopee","/stock-photo9.jpg","124 1st Ave E",44.798553,-93.525856
142,"Sisyphus Brewing","Minneapolis","/stock-photo4.jpg","712 Ontario Ave W",44.973263,-93.288925
143,"Sociable Cider Werks","Minneapolis","/stock-photo10.jpg","1500 Fillmore St NE",45.00319,-93.24254
144,"Spilled Grain Brewhouse","Annandale","/stock-photo2.jpg","300 Elm St E",45.25973,-94.11914
145,"Spiral Brewery","Hastings","/stock-photo11.jpg","111 2nd St E",44.744587,-92.85192
146,"Stacked Deck Brewing","Saint Paul","/stock-photo10.jpg","421 Cedar St",44.947624,-93.094894
147,"Starry Eyed Brewing Company","Little Falls","/stock-photo5.jpg","16757 11th St NE",46.00353,-94.34555
148,"Steel Toe Brewing","St Louis Park","/stock-photo4.jpg","4848 W 35th St",44.94136,-93.34122
149,"Summit Brewing Co","Saint Paul","/stock-photo1.jpg","910 Montreal Cir",44.913967,-93.13954
151,"Take 16 Brewing Company","Luverne","/stock-photo1.jpg","509 E Main St",43.65437,-96.20355
150,"Surly Brewing Company","Minneapolis","/stock-photo5.jpg","520 Malcolm Ave SE",44.973244,-93.20966
153,"Tanzenwald Brewing Company","Northfield","/stock-photo3.jpg","103 Water St N",44.459705,-93.16197
154,"Tavern Brewery","Detroit Lakes","/stock-photo5.jpg","200 W Lake Dr",46.806664,-95.84767
155,"The Freehouse","Minneapolis","/stock-photo13.jpg","701 Washington Ave N Ste 101",44.987564,-93.27716
156,"Third Street Brewhouse","Cold Spring","/stock-photo2.jpg","219 Red River Ave N",45.45889,-94.42973
160,"U4ic Brewing, Inc.","Belle Plaine","/stock-photo10.jpg","23436 Union Trl Ste 1",44.609386,-93.85527
161,"Under Pressure Brewing Company","Golden Valley","/stock-photo1.jpg","8806 7th Ave N",44.986107,-93.39085
163,"Union Pizza & Brewing Co","Fergus Falls","/stock-photo13.jpg","114 S Union Ave",46.283035,-96.07822
164,"Unmapped Brewing Co.","Minnetonka","/stock-photo13.jpg","14625 Excelsior Blvd",44.903862,-93.4659
165,"Urban Growler Brewing Co","Saint Paul","/stock-photo8.jpg","2325 Endicott St",44.97042,-93.19336
166,"Urban Lodge Brewery","Sauk Rapids","/stock-photo10.jpg","415 N Benton Dr",45.59225,-94.17154
167,"Ursa Minor Brewing","Duluth","/stock-photo12.jpg","2415 W Superior St B",46.763855,-92.129105
168,"Utepils Brewing Co","Minneapolis","/stock-photo11.jpg","225 Thomas Ave N Apt 700",44.978695,-93.31225
113,"Lupulin Brewing","Big Lake","/stock-photo13.jpg","570 Humboldt Dr Ste 107",45.331665,-93.73972
90,"Insight Brewing Company","Minneapolis","/stock-photo7.jpg","2821 E Hennepin Ave",44.991886,-93.21294
85,"Hoops Brewing","Duluth","/stock-photo4.jpg","325 S Lake Ave #110",46.7835,-92.09632
73,"Grand Rounds Brewing Company","Rochester","/stock-photo1.jpg","4 3rd St SW",44.020256,-92.46339
81,"HammerHeart Brewing Company","Lino Lakes","/stock-photo2.jpg","7785 Lake Dr",45.18906,-93.107086
87,"Imminent Brewing","Northfield","/stock-photo13.jpg","519 Division St S Unit 2",44.45419,-93.159515
89,"Indeed Brewing Co","Minneapolis","/stock-photo9.jpg","711 15th Ave NE Ste 102",45.003338,-93.251625
94,"Jack Pine Brewery","Baxter","/stock-photo8.jpg","15593 Edgewood Dr",46.377308,-94.25344
95,"Joseph Wolf Brewing Company","Saint Paul","/stock-photo13.jpg","85 7th Pl E Ste 200",44.94925,-93.0932
99,"Klockow Brewing Company","Grand Rapids","/stock-photo4.jpg","36 SE 10th St",47.220886,-93.52774
178,"Wicked Wort Brewing Company","Minneapolis","/stock-photo12.jpg","4165 W Broadway Ave",45.03091,-93.33922
179,"Wild Mind Artisan Ales","Minneapolis","/stock-photo2.jpg","6031 Pillsbury Ave S",44.893173,-93.28143
180,"Wooden Hill Brewing Company","Edina","/stock-photo10.jpg","7421 Bush Lake Road",44.867367,-93.35931
181,"Elm Creek Brewing Co.","Champlin","/stock-photo6.jpg","11469 Marketplace Dr N",45.162495,-93.39048
111,"LTS Brewing Company","Rochester","/stock-photo2.jpg","2001 32nd Ave NW",44.044727,-92.51039
114,"LynLake Brewery","Minneapolis","/stock-photo9.jpg","2934 Lyndale Ave S",44.94889,-93.288506
115,"Mankato Brewery","North Mankato","/stock-photo5.jpg","1119 Center St",44.181488,-94.01408
1,"10K Brewing","Anoka","/stock-photo7.jpg","2005 2nd Ave",45.19818,-93.38961
11,"August Schell Brewing Co","New Ulm","/stock-photo7.jpg","Schells Park/1860 Schell Rd",44.28914,-94.449844
2,"12welve Eyes Brewing","Saint Paul","/stock-photo11.jpg","141 E 4th St Ste LL2",44.94722,-93.089516
4,"56 Brewing","Minneapolis","/stock-photo1.jpg","3055 Columbia Ave NE Ste 102",45.023617,-93.272156
3,"14 Lakes Brewery","Crosslake","/stock-photo7.jpg","36846 Co Hwy 66",46.687027,-94.11213
16,"Bald Man Brewing Company","Eagan","/stock-photo13.jpg","2020 Silver Bell Rd Ste 25",44.82007,-93.21147
6,"Able Seedhouse and Brewery","Minneapolis","/stock-photo9.jpg","1121 Quincy St NE",44.999416,-93.25102
5,"612 Brew","Minneapolis","/stock-photo12.jpg","945 Broadway St NE",44.999035,-93.24667
18,"Bank Brewing Co","Hendricks","/stock-photo3.jpg","218 N Main St",44.508965,-96.426056
19,"Barley Johns Brewpub","New Brighton","/stock-photo9.jpg","781 Old Highway 8 SW",45.03614,-93.19814
